jurisdiction,name,event_year,event_quarter,prev_wage,new_wage,increase_abs,increase_pct,fed_floor
AK,Alaska,2010,2010Q1,7.15,7.75,0.6,8.39,7.25
CT,Connecticut,2010,2010Q1,8.0,8.25,0.25,3.12,7.25
DC,District of Columbia,2010,2010Q1,7.55,8.25,0.7,9.27,7.25
IL,Illinois,2010,2010Q1,7.75,8.0,0.25,3.23,7.25
ME,Maine,2010,2010Q1,7.25,7.5,0.25,3.45,7.25
NV,Nevada,2010,2010Q1,6.85,7.55,0.7,10.22,7.25
AZ,Arizona,2011,2011Q1,7.25,7.35,0.1,1.38,7.25
CO,Colorado,2011,2011Q1,7.24,7.36,0.12,1.66,7.25
IL,Illinois,2011,2011Q1,8.0,8.25,0.25,3.12,7.25
MT,Montana,2011,2011Q1,7.25,7.35,0.1,1.38,7.25
NV,Nevada,2011,2011Q1,7.55,8.25,0.7,9.27,7.25
OH,Ohio,2011,2011Q1,7.3,7.4,0.1,1.37,7.25
OR,Oregon,2011,2011Q1,8.4,8.5,0.1,1.19,7.25
VT,Vermont,2011,2011Q1,8.06,8.15,0.09,1.12,7.25
WA,Washington,2011,2011Q1,8.55,8.67,0.12,1.4,7.25
AZ,Arizona,2012,2012Q1,7.35,7.65,0.3,4.08,7.25
CO,Colorado,2012,2012Q1,7.36,7.64,0.28,3.8,7.25
FL,Florida,2012,2012Q1,7.25,7.67,0.42,5.79,7.25
MT,Montana,2012,2012Q1,7.35,7.65,0.3,4.08,7.25
OH,Ohio,2012,2012Q1,7.4,7.7,0.3,4.05,7.25
OR,Oregon,2012,2012Q1,8.5,8.8,0.3,3.53,7.25
VT,Vermont,2012,2012Q1,8.15,8.46,0.31,3.8,7.25
WA,Washington,2012,2012Q1,8.67,9.04,0.37,4.27,7.25
AZ,Arizona,2013,2013Q1,7.65,7.8,0.15,1.96,7.25
CO,Colorado,2013,2013Q1,7.64,7.78,0.14,1.83,7.25
FL,Florida,2013,2013Q1,7.67,7.79,0.12,1.56,7.25
MO,Missouri,2013,2013Q1,7.25,7.35,0.1,1.38,7.25
MT,Montana,2013,2013Q1,7.65,7.8,0.15,1.96,7.25
OH,Ohio,2013,2013Q1,7.7,7.85,0.15,1.95,7.25
OR,Oregon,2013,2013Q1,8.8,8.95,0.15,1.7,7.25
RI,Rhode Island,2013,2013Q1,7.4,7.75,0.35,4.73,7.25
VT,Vermont,2013,2013Q1,8.46,8.6,0.14,1.65,7.25
WA,Washington,2013,2013Q1,9.04,9.19,0.15,1.66,7.25
AZ,Arizona,2014,2014Q1,7.8,7.9,0.1,1.28,7.25
CA,California,2014,2014Q1,8.0,9.0,1.0,12.5,7.25
CO,Colorado,2014,2014Q1,7.78,8.0,0.22,2.83,7.25
CT,Connecticut,2014,2014Q1,8.25,8.7,0.45,5.45,7.25
DC,District of Columbia,2014,2014Q1,8.25,9.5,1.25,15.15,7.25
DE,Delaware,2014,2014Q1,7.25,7.75,0.5,6.9,7.25
FL,Florida,2014,2014Q1,7.79,7.93,0.14,1.8,7.25
MI,Michigan,2014,2014Q1,7.4,8.15,0.75,10.14,7.25
MN,Minnesota,2014,2014Q1,6.15,8.0,1.85,30.08,7.25
MO,Missouri,2014,2014Q1,7.35,7.5,0.15,2.04,7.25
MT,Montana,2014,2014Q1,7.8,7.9,0.1,1.28,7.25
NJ,New Jersey,2014,2014Q1,7.25,8.25,1.0,13.79,7.25
NY,New York,2014,2014Q1,7.25,8.0,0.75,10.34,7.25
OH,Ohio,2014,2014Q1,7.85,7.95,0.1,1.27,7.25
OR,Oregon,2014,2014Q1,8.95,9.1,0.15,1.68,7.25
RI,Rhode Island,2014,2014Q1,7.75,8.0,0.25,3.23,7.25
VT,Vermont,2014,2014Q1,8.6,8.73,0.13,1.51,7.25
WA,Washington,2014,2014Q1,9.19,9.32,0.13,1.41,7.25
AK,Alaska,2015,2015Q1,7.75,8.75,1.0,12.9,7.25
