block,spec,coef,se,t,p_value,ci_low,ci_high,pct_effect,n_obs,n_states,n_k
placebo_pbsv,TWFE,-0.016765028191536968,0.015819923141455736,-1.0597414438509254,0.289262242791415,-0.04777150778698196,0.014241451403908024,-1.6625277172864772,3264.0,51.0,
placebo_pbsv,CSA_overall,-0.0020654774832957502,0.01815933947996008,,,-0.037657128847053814,0.03352617388046232,-0.2063345852543086,3264.0,51.0,
falsification_fake_date,TWFE_fake_did,-0.012745719477385656,0.007750733730581001,-1.6444532763519701,0.10008260802515849,-0.027936878443084193,0.0024454394883128804,-1.2664836795558743,1624.0,37.0,
robust_alt_outcome_share,TWFE,-0.0007214011970048269,0.0013151880918683104,-0.5485156088814866,0.5833379145473505,-0.0032991224899626714,0.0018563200959530175,-0.0721141049721874,3264.0,51.0,
robust_alt_outcome_share,CSA_overall,-0.002294826096514839,0.0007116088750777069,,,-0.003689553862746207,-0.0009000983302834709,-0.2292194996132313,3264.0,51.0,
robust_csa_horizon,k0_4,-0.005849588454707268,,,,-0.024515743246195668,0.0035855258319071577,-0.5832512923330091,,,5.0
robust_csa_horizon,k0_8,-0.005272913262297923,,,,-0.024515743246195668,0.008040389170939879,-0.525903585732701,,,9.0
robust_csa_horizon,k0_12,-0.004365812168828208,,,,-0.024515743246195668,0.014872544148833898,-0.4356295864717197,,,13.0
robust_csa_horizon,k0_16,-0.004307447243299851,,,,-0.024671975787993725,0.01706451032521681,-0.42981834982270817,,,17.0
robust_twfe_window,pm8q,-0.00780506805656835,0.005949531160894441,-1.3118795154599965,0.18956079017454952,-0.019465934856820234,0.003855798743683533,-0.7774687604765407,1731.0,51.0,
robust_twfe_window,pm12q,-0.010557165350604315,0.007859866257474583,-1.3431736628552238,0.17921574761793024,-0.025962220138556123,0.004847889437347493,-1.0501634069921995,1923.0,51.0,
robust_twfe_window,pm16q,-0.013841823164532027,0.009724353649500004,-1.4234183230516024,0.15461492392651618,-0.032901206090482665,0.005217559761418616,-1.3746465611436887,2107.0,51.0,
